Location,Latitude,Longitude,AircraftId,Date,Origin,Destination,DepartureAEST,ArrivalAEST
Brisbane,-27.3739966,153.1226313,FD478,17/7/2022,Brisbane (BNE / YBBN),Moura (YMOU),08:08:00,08:36:00
Brisbane,-27.3739966,153.1226313,FD493,17/7/2022,Brisbane (BNE / YBBN),Charleville (CTL / YBCV),14:41:00,15:12:00
Brisbane,-27.3739966,153.1226313,FD449,6/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),15:27:00,15:56:00
Brisbane,-27.3739966,153.1226313,FD425,16/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),10:22:00,10:49:00
Brisbane,-27.3739966,153.1226313,FD456,6/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),16:12:00,16:38:00
Brisbane,-27.3739966,153.1226313,FD425,8/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),14:46:00,15:13:00
Brisbane,-27.3739966,153.1226313,FD425,16/7/2022,Brisbane (BNE / YBBN),Gladstone (GLT / YGLA),21:15:00,21:43:00
Brisbane,-27.3739966,153.1226313,FD456,11/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),02:13:00,02:41:00
Brisbane,-27.3739966,153.1226313,FD493,9/7/2022,Brisbane (BNE / YBBN),Toowoomba (YTWB),15:55:00,16:20:00
Brisbane,-27.3739966,153.1226313,FD493,14/7/2022,Brisbane (BNE / YBBN),Charleville (CTL / YBCV),02:44:00,03:14:00
Brisbane,-27.3739966,153.1226313,FD456,9/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),01:21:00,01:50:00
Brisbane,-27.3739966,153.1226313,FD467,16/7/2022,Brisbane (BNE / YBBN),Toowoomba (YTWB),11:55:00,12:20:00
Brisbane,-27.3739966,153.1226313,FD456,11/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),17:30:00,17:58:00
Brisbane,-27.3739966,153.1226313,FD449,14/7/2022,Brisbane (BNE / YBBN),Emerald (EMD / YEML),14:48:00,15:18:00
Brisbane,-27.3739966,153.1226313,FD449,5/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),13:04:00,13:35:00
Brisbane,-27.3739966,153.1226313,FD427,16/7/2022,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),14:11:00,14:37:00
Brisbane,-27.3739966,153.1226313,FD425,12/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),09:22:00,09:48:00
Brisbane,-27.3739966,153.1226313,FD456,7/7/2022,Brisbane (BNE / YBBN),Roma (RMA / YROM),12:54:00,13:22:00
Brisbane,-27.3739966,153.1226313,FD425,17/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),11:11:00,11:38:00
Brisbane,-27.3739966,153.1226313,FD425,16/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),23:38:00,00:05:00
Brisbane,-27.3739966,153.1226313,FD456,10/7/2022,Brisbane (BNE / YBBN),Brisbane (BNE / YBBN),04:39:00,05:09:00
Brisbane,-27.3739966,153.1226313,FD489,7/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),09:34:00,10:01:00
Brisbane,-27.3739966,153.1226313,FD449,8/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),11:19:00,11:46:00
Brisbane,-27.3739966,153.1226313,FD467,12/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),18:42:00,19:09:00
Brisbane,-27.3739966,153.1226313,FD425,11/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),11:19:00,11:46:00
Brisbane,-27.3739966,153.1226313,FD489,7/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),21:11:00,21:40:00
Brisbane,-27.3739966,153.1226313,FD425,12/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),17:32:00,17:59:00
Brisbane,-27.3739966,153.1226313,FD427,14/7/2022,Brisbane (BNE / YBBN),Wellcamp Airport (WTB / YBWW),00:02:00,00:28:00
Brisbane,-27.3739966,153.1226313,FD467,6/7/2022,Brisbane (BNE / YBBN),Emerald (EMD / YEML),12:56:00,13:26:00
Brisbane,-27.3739966,153.1226313,FD478,4/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),21:14:00,21:42:00
Brisbane,-27.3739966,153.1226313,FD425,7/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),17:51:00,18:18:00
Brisbane,-27.3739966,153.1226313,FD427,17/7/2022,Brisbane (BNE / YBBN),Thangool (THG / YTNG),22:40:00,23:08:00
Brisbane,-27.3739966,153.1226313,FD456,5/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),17:46:00,18:16:00
Brisbane,-27.3739966,153.1226313,FD427,17/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),14:32:00,15:00:00
Brisbane,-27.3739966,153.1226313,FD425,14/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),20:56:00,21:22:00
Brisbane,-27.3739966,153.1226313,FD480,11/7/2022,Brisbane (BNE / YBBN),Longreach (YLRE),16:56:00,17:27:00
Brisbane,-27.3739966,153.1226313,FD449,14/7/2022,Brisbane (BNE / YBBN),Emerald (EMD / YEML),14:32:00,15:02:00
Brisbane,-27.3739966,153.1226313,FD467,15/7/2022,Brisbane (BNE / YBBN),Toowoomba (YTWB),09:23:00,09:48:00
Brisbane,-27.3739966,153.1226313,FD467,9/7/2022,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),20:04:00,20:30:00
Brisbane,-27.3739966,153.1226313,FD427,13/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),14:35:00,15:01:00
Brisbane,-27.3739966,153.1226313,FD425,13/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),07:58:00,08:25:00
Brisbane,-27.3739966,153.1226313,FD425,11/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),17:54:00,18:21:00
Brisbane,-27.3739966,153.1226313,FD467,9/7/2022,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),03:01:00,03:27:00
Brisbane,-27.3739966,153.1226313,FD425,10/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),07:53:00,08:20:00
Brisbane,-27.3739966,153.1226313,FD425,15/7/2022,Brisbane (BNE / YBBN),Gladstone (GLT / YGLA),22:31:00,22:59:00
Brisbane,-27.3739966,153.1226313,FD478,5/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),23:28:00,23:56:00
Brisbane,-27.3739966,153.1226313,FD456,7/7/2022,Brisbane (BNE / YBBN),Blackall (BKQ / YBCK),18:10:00,18:41:00
Brisbane,-27.3739966,153.1226313,FD456,4/7/2022,Brisbane (BNE / YBBN),Roma (RMA / YROM),02:19:00,02:48:00
Brisbane,-27.3739966,153.1226313,FD449,4/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),22:57:00,23:27:00
Brisbane,-27.3739966,153.1226313,FD427,15/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),23:21:00,23:47:00
Brisbane,-27.3739966,153.1226313,FD456,8/7/2022,Brisbane (BNE / YBBN),Longreach (YLRE),11:52:00,12:23:00
Brisbane,-27.3739966,153.1226313,FD489,5/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),18:18:00,18:48:00
Brisbane,-27.3739966,153.1226313,AM273,18/7/2022,Brisbane (BNE / YBBN),Sydney (SYD / YSSY),21:09:00,21:38:00
Brisbane,-27.3739966,153.1226313,FD478,12/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),16:59:00,17:28:00
Brisbane,-27.3739966,153.1226313,FD449,7/7/2022,Brisbane (BNE / YBBN),Emerald (EMD / YEML),03:02:00,03:32:00
Brisbane,-27.3739966,153.1226313,FD456,15/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),07:45:00,08:12:00
Brisbane,-27.3739966,153.1226313,FD489,8/7/2022,Brisbane (BNE / YBBN),Roma (RMA / YROM),17:11:00,17:39:00
Brisbane,-27.3739966,153.1226313,FD467,12/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),16:18:00,16:45:00
Brisbane,-27.3739966,153.1226313,FD467,13/7/2022,Brisbane (BNE / YBBN),Monto (YMTO),08:32:00,09:00:00
Brisbane,-27.3739966,153.1226313,FD467,11/7/2022,Brisbane (BNE / YBBN),Goondiwindi (GOO / YGDI),13:52:00,14:19:00
Brisbane,-27.3739966,153.1226313,FD427,12/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),15:07:00,15:34:00
Brisbane,-27.3739966,153.1226313,FD427,14/7/2022,Brisbane (BNE / YBBN),Gladstone (GLT / YGLA),11:01:00,11:29:00
Brisbane,-27.3739966,153.1226313,FD449,17/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),04:14:00,04:42:00
Brisbane,-27.3739966,153.1226313,FD427,16/7/2022,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),13:30:00,13:56:00
Brisbane,-27.3739966,153.1226313,FD425,6/7/2022,Brisbane (BNE / YBBN),Monto (YMTO),15:49:00,16:17:00
Brisbane,-27.3739966,153.1226313,FD449,17/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),00:41:00,01:09:00
Brisbane,-27.3739966,153.1226313,FD425,17/7/2022,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),00:33:00,00:58:00
Brisbane,-27.3739966,153.1226313,FD456,3/7/2022,Brisbane (BNE / YBBN),Goondiwindi (GOO / YGDI),09:14:00,09:42:00
Brisbane,-27.3739966,153.1226313,FD425,10/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),21:17:00,21:43:00
Brisbane,-27.3739966,153.1226313,FD467,15/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),08:54:00,09:23:00
Brisbane,-27.3739966,153.1226313,FD467,14/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),18:53:00,19:22:00
Brisbane,-27.3739966,153.1226313,FD425,8/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),20:45:00,21:12:00
Brisbane,-27.3739966,153.1226313,FD425,15/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),14:44:00,15:11:00
