"","Location","Latitude","Longitude","AircraftId","Date","Origin","Destination","DepartureAEST","ArrivalAEST"
"163","Brisbane",-27.3739966,153.1226313,"FD467","09-07-2022","Brisbane (BNE / YBBN)","Kingaroy (KGY / YKRY)",20:04:00,20:30:00
"164","Brisbane",-27.3739966,153.1226313,"FD467","16-07-2022","Brisbane (BNE / YBBN)","Toowoomba (YTWB)",11:55:00,12:20:00
"165","Brisbane",-27.3739966,153.1226313,"FD489","05-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",18:18:00,18:48:00
"166","Brisbane",-27.3739966,153.1226313,"FD425","07-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",16:24:00,16:51:00
"167","Brisbane",-27.3739966,153.1226313,"FD467","06-07-2022","Brisbane (BNE / YBBN)","Emerald (EMD / YEML)",12:56:00,13:26:00
"168","Brisbane",-27.3739966,153.1226313,"FD456","15-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",07:45:00,08:12:00
"169","Brisbane",-27.3739966,153.1226313,"FD489","06-07-2022","Brisbane (BNE / YBBN)","Blackwater (BLT / YBTR)",19:23:00,19:53:00
"170","Brisbane",-27.3739966,153.1226313,"FD467","13-07-2022","Brisbane (BNE / YBBN)","Monto (YMTO)",08:32:00,09:00:00
"171","Brisbane",-27.3739966,153.1226313,"FD427","17-07-2022","Brisbane (BNE / YBBN)","Thangool (THG / YTNG)",22:40:00,23:08:00
"172","Brisbane",-27.3739966,153.1226313,"FD456","07-07-2022","Brisbane (BNE / YBBN)","Blackall (BKQ / YBCK)",18:10:00,18:41:00
"173","Brisbane",-27.3739966,153.1226313,"FD456","04-07-2022","Brisbane (BNE / YBBN)","Roma (RMA / YROM)",02:19:00,02:48:00
"174","Brisbane",-27.3739966,153.1226313,"FD427","13-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",17:18:00,17:44:00
"175","Brisbane",-27.3739966,153.1226313,"FD449","17-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",04:14:00,04:42:00
"176","Brisbane",-27.3739966,153.1226313,"FD425","10-07-2022","Brisbane (BNE / YBBN)","Gayndah (GAH / YGAY)",19:12:00,19:38:00
"177","Brisbane",-27.3739966,153.1226313,"FD467","15-07-2022","Brisbane (BNE / YBBN)","Toowoomba (YTWB)",09:23:00,09:48:00
"178","Brisbane",-27.3739966,153.1226313,"FD467","09-07-2022","Brisbane (BNE / YBBN)","Kingaroy (KGY / YKRY)",03:01:00,03:27:00
